#course-code, format, duration, section, times, days, location, room1, room2, instructor
ACTG2P12,ASY,2,4,,       ,ASYNC,ASYNC,,Skrubbeltrang Glenn
ACTG2P12,LEC,2,5,1100-1230, M W   ,GSB206,GSB206,,Skrubbeltrang Glenn
ACTG2P12,LEC,3,1,1100-1230,  T R  ,GSB206,GSB206,,Bay Darlene
ACTG2P12,LEC,3,2,1400-1530,  T R  ,GSB206,GSB206,,Bay Darlene
ACTG2P21,LEC,3,1,1100-1230, M W   ,GSB406,GSB406,,Herath Hemantha
ACTG2P21,LEC,3,2,1230-1400, M W   ,GSB406,GSB406,,Herath Hemantha
ACTG2P21,LEC,3,3,800 -930 , M W   ,GSB406,GSB406,,Herath Hemantha
ACTG2P31,LEC,2,1,930 -1100,  T  F ,GSB307,GSB307,,Pacharn Parunchana
ACTG2P31,ASY,2,2,,       ,ASYNC,ASYNC,,Pacharn Parunchana
ACTG2P31,LEC,2,3,1530-1700,  T  F ,GSB307,GSB307,,Trabelsi Samir
ACTG2P31,SYN,2,4,1400-1530,  T  F ,SYNC,SYNC,,Trabelsi Samir
ACTG2P31,SYN,2,5,1100-1230,  T  F ,SYNC,SYNC,,Hollo Sangeeta
ACTG2P31,LEC,3,1,930 -1100,   W F ,STH201,STH201,,Hollo Sangeeta
ACTG2P32,LEC,3,1,930 -1100, M  R  ,GSB406,GSB406,,Skrubbeltrang Glenn
ACTG2P32,LEC,3,2,1100-1230,  T R  ,GSB406,GSB406,,Kim Sohyung
ACTG2P32,LEC,3,3,800 -930 ,  T  F ,GSB308,GSB308,,Kim Sohyung
ACTG2P40,LEC,2,1,1900-2200, M     ,STH215,STH215,,Maloney David
ACTG2P40,LEC,2,2,1900-2200,   W   ,STH216,STH216,,Bush Pat
ACTG2P40,SYN,2,3,1900-2200,   W   ,SYNC,SYNC,,Troup Brad
ACTG2P40,SYN,2,4,1900-2200,  T    ,SYNC,SYNC,,Book Katharine
ACTG2P40,SYN,2,5,1900-2200, M     ,SYNC,SYNC,,Maloney Patrick
ACTG2P40,SYN,2,6,1900-2200,   W   ,SYNC,SYNC,,Bush Erica
ACTG2P40,LEC,3,1,1900-2200,    R  ,STH217,STH217,,Book Katharine
ACTG2P40,LEC,3,2,1900-2200,   W   ,ST107,ST107,,Maloney Patrick
ACTG2P40,LEC,3,3,1900-2200, M     ,ST107,ST107,,Troup Brad
ACTG2P40,LEC,3,4,1900-2200,  T    ,ST107,ST107,,Maloney David
ACTG2P40,LEC,3,5,1900-2200,  T    ,STH201,STH201,,Bush Erica
ACTG2P40,LEC,3,6,1900-2200, M     ,STH217,STH217,,Bush Pat
ACTG2P51,ASY,3,1,,       ,ASYNC,ASYNC,,Chasse Norman
ACTG3P11,LEC,3,1,930 -1100,  T R  ,GSB407,GSB407,,Ho Nam
ACTG3P11,LEC,3,2,1100-1230,  T R  ,GSB407,GSB407,,Ho Nam
ACTG3P23,LEC,2,1,1230-1400,   W F ,GSB308,GSB308,,Sohail Tashfeen
ACTG3P23,SYN,2,2,800 -930 ,   W F ,SYNC,SYNC,,Sohail Tashfeen
ACTG3P23,LEC,3,1,800 -930 ,  T R  ,GSB406,GSB406,,Hollo Sangeeta
ACTG3P33,LEC,2,1,930 -1100,  T  F ,GSB308,GSB308,,LiuFrank
ACTG3P33,ASY,2,2,,       ,ASYNC,ASYNC,,LiuFrank
ACTG3P41,LEC,2,1,1230-1400,  T  F ,GSB307,GSB307,,Sheng Su
ACTG3P41,ASY,2,2,,       ,ASYNC,ASYNC,,Li Mengtian
ACTG3P41,LEC,2,3,1230-1400, M  R  ,GSB407,GSB407,,Li Mengtian
ACTG3P41,ASY,2,4,,       ,ASYNC,ASYNC,,Li Mengtian
ACTG3P97,LEC,2,1,1230-1400, M  R  ,MCJ201,MCJ201,,Nikitkov Alex
ACTG3P97,SYN,2,2,1100-1230,   W F ,SYNC,SYNC,,Nikitkov Alex
ACTG3P97,ASY,2,3,,       ,ASYNC,ASYNC,,Zhang Xia (Celine)
ACTG3P97,LEC,2,4,1400-1530, M  R  ,MCJ201,MCJ201,,Zhang Xia (Celine)
ACTG3P97,ASY,2,5,,       ,ASYNC,ASYNC,,Zhang Xia (Celine)
ACTG3P97,LEC,3,1,1100-1230,   W F ,MCJ201,MCJ201,,Sheng Su
ACTG4P03,SYN,2,1,930 -1100,M W    ,SYNC,SYNC,,Lazrak Skander
ACTG4P11,LEC,2,1,800 -930 ,  T  F ,GSB406,GSB406,,LiJennifer
ACTG4P11,SYN,2,2,1230-1400, M W   ,SYNC,SYNC,,Brown Kareen
ACTG4P11,SYN,2,3,1400-1530, M W   ,SYNC,SYNC,,Brown Kareen
ACTG4P11,SYN,2,5,1530-1700, M  R  ,SYNC,SYNC,,Elayan Fayez
ACTG4P11,LEC,3,1,800 -930 , M W   ,GSB408,GSB408,,Brown Kareen
ACTG4P12,LEC,2,1,1400-1530,  T R  ,GSB407,GSB407,,Hollo Sangeeta
ACTG4P12,SYN,2,2,800 -930 ,  T  F ,SYNC,SYNC,,Hollo Sangeeta
ACTG4P12,SYN,2,3,800 -930 , M  R  ,SYNC,SYNC,,Hollo Sangeeta
ACTG4P12,LEC,3,1,1100-1230,   W F ,GSB405,GSB405,,Hollo Sangeeta
ACTG4P12,LEC,3,2,1230-1400,  T R  ,GSB305,GSB305,,Hollo Sangeeta
ACTG4P34,LEC,2,1,1230-1400,  T  F ,GSB405,GSB405,,Chasse Norman
ACTG4P34,SYN,2,2,930 -1100,  T R  ,SYNC,SYNC,,Chasse Norman
ACTG4P34,LEC,3,1,930 -1100,  T R  ,GSB307,GSB307,,Chasse Norman
ACTG4P34,LEC,3,2,1100-1230, M W   ,PLZ409,PLZ409,,Chasse Norman
ACTG4P40,SYN,2,1,1900-2200, M     ,SYNC,SYNC,,Murphy Brittany
ACTG4P41,ASY,2,1,,       ,ASYNC,ASYNC,,TangTanya
ACTG4P41,LEC,3,1,1900-2200,   W   ,GSB308,GSB308,,Sheng Su
ACTG4P42,ASY,2,1,,       ,ASYNC,ASYNC,,Lau Michelle
ACTG4P42,ASY,2,3,,       ,ASYNC,ASYNC,,Lau Michelle
ACTG4P42,LEC,3,1,1400-1530, M  R  ,GSB308,GSB308,,Stillabower Linda M.
ACTG4P61,LEC,2,1,800 -930 , M  R  ,GSB406,GSB406,,Adamson Ian L
ACTG4P61,SYN,2,2,930 -1100, M W   ,SYNC,SYNC,,Adamson Ian L
ACTG4P62,LEC,2,1,1230-1400, M W   ,GSB408,GSB408,,Culumovic Louis
ACTG4P62,SYN,2,2,1530-1700,  T R  ,SYNC,SYNC,,Culumovic Louis
ACTG4P62,SYN,2,3,1100-1230, M W   ,SYNC,SYNC,,Culumovic Louis
ACTG4P62,LEC,3,1,1100-1230, M  R  ,GSB405,GSB405,,Culumovic Louis
ACTG4P62,LEC,3,2,1230-1400, M W   ,GSB405,GSB405,,Chasse Norman
ADED1P31,ASY,2,1,,       ,ASYNC,ASYNC,,Saudelli Mary Gene
ADED1P31,ASY,2,2,,       ,ASYNC,ASYNC,,Ritchie Marie
ADED1P31,ASY,2,3,,       ,,,,Ritchie Marie
ADED1P31,ASY,3,1,,       ,,,,LaneLaura
ADED1P31,ASY,3,2,,       ,,,,Farquhar Lynn
ADED1P31,ASY,3,3,,       ,,,,Farquhar Lynn
ADED1P31,ASY,3,4,,       ,,,,Han Andrew
ADED1P31,ASY,3,5,,       ,,,,Han Andrew
ADED1P31,ASY,3,6,,       ,,,,Farquhar Lynn
ADED2F90,ASY,2,1,,       ,ASYNC,ASYNC,,McGrayRobert
ADED2F90,ASY,2,2,,       ,ASYNC,ASYNC,,McGrayRobert
ADED2F90,ASY,3,1,,       ,ASYNC,ASYNC,,Beres Jacqueline
ADED2F90,ASY,3,2,,       ,ASYNC,ASYNC,,Saudelli Mary Gene
ADED2F91,ASY,2,1,,       ,ASYNC,ASYNC,,Simmons Nicola E
ADED2F91,ASY,3,1,,       ,ASYNC,ASYNC,,Itwaru Sharmaine
ADED2F91,ASY,3,2,,       ,ASYNC,ASYNC,,Han Andrew
ADED2F92,ASY,2,1,,       ,ASYNC,ASYNC,,Drake Susan M. / Reid Joanne
ADED2F92,ASY,3,1,,       ,ASYNC,ASYNC,,Drake Susan M. / Reid Joanne
ADED2P22,ASY,3,1,,       ,ASYNC,ASYNC,,Grover Ashley
ADED2P50,ASY,3,1,,       ,ASYNC,ASYNC,,Forsythe Giulia
ADED2P55,ASY,3,1,,       ,ASYNC,ASYNC,,VanDervliet Cathy
ADED3F90,ASY,2,1,,       ,ASYNC,ASYNC,,Goodfellow Sheila
ADED3F90,ASY,3,1,,       ,ASYNC,ASYNC,,Dixon Julie
ADED3P11,ASY,3,1,,       ,ASYNC,ASYNC,,Harvey Kelsey
ADED3P12,ASY,3,1,,       ,ASYNC,ASYNC,,Minty Karen
ADED3P31,ASY,2,1,,       ,ASYNC,ASYNC,,Goodfellow Sheila
ADED3P32,ASY,3,1,,       ,ASYNC,ASYNC,,Kowalski Ewa
ADED3P41,ASY,2,1,,       ,ASYNC,ASYNC,,Spring Lauren
ADED3P50,ASY,3,1,,       ,ASYNC,ASYNC,,Spring Lauren
ADED3P91,ASY,2,1,,       ,ASYNC,ASYNC,,Grover Ashley
ADED3P95,ASY,2,1,,       ,ASYNC,ASYNC,,Farquhar Lynn
ADED3P97,ASY,3,1,,       ,ASYNC,ASYNC,,Shickluna Dawn
ADED4F90,ASY,2,1,,       ,ASYNC,ASYNC,,Woloshyn Vera
ADED4F90,ASY,3,1,,       ,ASYNC,ASYNC,,Taber Nancy
ADMI0N11,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
ADMI0N11,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
ADMI0N12,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
ADMI0N12,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
ADMI0N13,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
ADMI0N13,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
ADMI0N14,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
ADMI0N14,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
ADMI0N15,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
ADMI0N15,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
ADMI0N90,SYN,2,1,1700-1830,   W   ,SYNC,SYNC,,ZhuJulia
ADMI0N90,SYN,2,2,1700-1830,   W   ,SYNC,SYNC,,ZhuJulia
ADST4P00,ASY,2,1,,       ,ASYNC,ASYNC,,Craig Thomas
ADST4P50,ASY,3,1,,       ,,,,Craig Thomas
ADST4P96,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
ADST4P96,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
ADST4P97,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
ADST4P97,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
APCO1P00,SYN,2,1,1300-1430, M     ,SYNC,SYNC,,Foxwell Earl
APCO1P00,SYN2,2,1,1500-1630,   W   ,SYNC,SYNC,,Foxwell Earl
APCO1P00,LAB  1,2,1,1000-1200,  T    ,SYNC,SYNC,,
APCO1P00,LAB  2,2,1,1400-1600,     F ,SYNC,SYNC,,
APCO1P00,LAB  3,2,1,1600-1800,  T    ,SYNC,SYNC,,
APCO1P00,LAB  4,2,1,1200-1400,   W   ,SYNC,SYNC,,
APCO1P00,LAB  5,2,1,1400-1600,  T    ,SYNC,SYNC,,
APCO1P00,TUT  1,2,1,900 -1000,  T    ,SYNC,SYNC,,
APCO1P00,LEC,3,1,1300-1430,    R  ,WH324,WH324,,Foxwell Earl
APCO1P00,LEC2,3,1,1330-1500,  T    ,WH324,WH324,,Foxwell Earl
APCO1P00,LAB  1,3,1,1100-1300,  T    ,MCJ310,MCJ310,,
APCO1P00,LAB  2,3,1,1300-1500,   W   ,MCJ310,MCJ310,,
APCO1P00,LAB  3,3,1,1400-1600,     F ,MCJ310,MCJ310,,
APCO1P00,LAB  4,3,1,1500-1700,    R  ,MCJ310,MCJ310,,
APCO1P00,LAB  5,3,1,1200-1400,     F ,MCJ310,MCJ310,,
APCO1P00,TUT  1,3,1,1700-1800,    R  ,STH202,STH202,,
APCO1P01,LEC,2,1,1800-2100,    R  ,THSOS,THSOS,,BellJ
APCO1P01,LAB  1,2,1,1300-1500,   W   ,MCD205,MCD205,,
APCO1P01,LAB  2,2,1,1100-1300,   W   ,MCD205,MCD205,,
APCO1P01,LAB  3,2,1,1000-1200,  T    ,MCD205,MCD205,,
APCO1P01,LAB  4,2,1,1600-1800,    R  ,MCD205,MCD205,,
APCO1P01,LAB  5,2,1,1600-1800, M     ,MCD205,MCD205,,
APCO1P01,LEC,3,1,1030-1200, M W   ,STH203,STH203,,BellJ
APCO1P01,LAB  1,3,1,900 -1100,  T    ,MCD205,MCD205,,
APCO1P01,LAB  2,3,1,1500-1700,  T    ,MCD205,MCD205,,
APCO1P01,LAB  3,3,1,1600-1800,    R  ,MCD205,MCD205,,
APCO1P01,LAB  4,3,1,1300-1500,   W   ,MCD205,MCD205,,
APCO1P30,LEC,2,1,,       ,ASYNC,ASYNC,,Krzywinska Agnieszka
APCO1P30,LAB  1,2,1,2000-2200,  W    ,SYNC,SYNC,,
APCO1P30,LEC,2,2,,       ,ASYNC,ASYNC,,Krzywinska Agnieszka
APCO1P30,LAB  1,2,2,1800-2000,  W    ,SYNC,SYNC,,
APCO1P50,ONM,2,1,1630-1800,M W    ,SYNC,SYNC,,Queiroz Dividino Renata
APCO1P50,SEM  1,2,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  2,2,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  3,2,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  4,2,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  5,2,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  6,2,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  7,2,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  8,2,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  9,2,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM 10,2,1,,       ,ASYNC,ASYNC,,
APCO1P50,ASY,2,2,,       ,ASYNC,ASYNC,,Radue Jonathan
APCO1P50,SEM  1,2,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  2,2,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  3,2,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  4,2,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  5,2,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  6,2,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  7,2,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  8,2,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  9,2,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM 10,2,2,,       ,ASYNC,ASYNC,,
APCO1P50,BLD,3,1,1800-2100,   R   ,STH204,STH204,,BorkPoling
APCO1P50,SEM  1,3,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  2,3,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  3,3,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  4,3,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  5,3,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  6,3,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  7,3,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  8,3,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  9,3,1,,       ,ASYNC,ASYNC,,
APCO1P50,SEM 10,3,1,,       ,ASYNC,ASYNC,,
APCO1P50,BLD,3,2,1330-1500,M  R   ,TH325,TH325,,Queiroz Dividino Renata
APCO1P50,SEM  1,3,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  2,3,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  3,3,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  4,3,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  5,3,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  6,3,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  7,3,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  8,3,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM  9,3,2,,       ,ASYNC,ASYNC,,
APCO1P50,SEM 10,3,2,,       ,ASYNC,ASYNC,,
APCO1P93,LEC,3,1,800 -930 , M   F ,STH201,STH201,,Li Yifeng
APCO1P93,LAB  1,3,1,1100-1300,   W   ,MCJ310,MCJ310,,
APCO1P93,LAB  2,3,1,1100-1300, M     ,MCJ310,MCJ310,,
APCO1P93,TUT  1,3,1,900 -1000,    R  ,ST107,ST107,,
APCO2P61,LAB,3,1,1700-2200,   R   ,MWS133VWS133,MWS133,VWS133,Pinney Dominic
APCO2P61,LAB,3,1,1700-2200,   R   ,MWS133VWS133,MWS133,VWS133,Pinney Dominic
APCO2P61,LAB2,3,1,1700-2200,   R   ,MWS147,MWS147,,
APCO2P61,LAB2,3,1,1700-2200,   R   ,MWS147,MWS147,,
APCO2P89,LEC,2,1,800 -930 ,  W F  ,STH204,STH204,,Emami Ali
APCO2P89,LAB  1,2,1,1100-1300,M      ,MCJ310,MCJ310,,
APCO2P89,LAB  2,2,1,1800-2000,M      ,MCJ310,MCJ310,,
APCO2P89,LAB  3,2,1,1800-2000, T     ,MCJ310,MCJ310,,
APCO2P89,LAB  4,2,1,900 -1100,   R   ,MCJ310,MCJ310,,
APCO2P89,LAB  5,2,1,1400-1600,  W    ,MCJ310,MCJ310,,
APCO2P89,LAB  6,2,1,800 -1000, T     ,MCJ310,MCJ310,,
APCO2P89,LAB  7,2,1,1200-1400,    F  ,MCJ310,MCJ310,,
APCO2P99,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
APCO2P99,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
APCO3P94,LEC,3,1,930 -1100, T  F  ,STH216,STH216,,Bockus Dave F
APCO3P94,SEM  1,3,1,1700-1900, T     ,MCJ209,MCJ209,,
APCO3P94,SEM  2,3,1,1100-1300,    F  ,MCD301,MCD301,,
APCO3P94,SEM  3,3,1,1000-1200,  W    ,MCJ209,MCJ209,,
APCO3P94,SEM  4,3,1,1600-1800,   R   ,PLZ308,PLZ308,,
ASTR1P01,ASY,2,2,,       ,ASYNC,ASYNC,,Shoshany Barak
ASTR1P02,ASY,3,2,,       ,ASYNC,ASYNC,,Shoshany Barak
BCHM0N01,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
BCHM0N01,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
BCHM0N02,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
BCHM0N02,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
BCHM0N03,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
BCHM0N03,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
BCHM0N04,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
BCHM0N04,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
BCHM0N05,PRO,2,1,Project Course,       ,TBS,TBS,,See dept.
BCHM0N05,PRO,3,1,Project Course,       ,TBS,TBS,,See dept.
BCHM3P01,ASY,3,1,,       ,ASYNC,ASYNC,,Vesprini Nicholas / SzuroczkiDorina
BCHM3P01,LAB  2,3,1,1400-1700,  T    ,IH309,IH309,,
BCHM3P01,LAB  3,3,1,1000-1300,   W   ,IH309,IH309,,
BCHM3P01,LAB  4,3,1,1400-1700,   W   ,IH309,IH309,,
BCHM3P01,LAB  5,3,1,1000-1300,    R  ,IH309,IH309,,
BCHM3P01,LAB  6,3,1,1400-1700,    R  ,IH309,IH309,,
BCHM3P02,ASY,2,1,,       ,ASYNC,ASYNC,,Vesprini Nicholas
BCHM3P25,LEC,2,1,1130-1300,M  R   ,GSB308,GSB308,,Trussler Steven / Inglis Debbie
BCHM3P25,LAB  1,2,1,1400-1700,   R   ,IH309,IH309,,
BCHM4P06,LEC,3,1,900 -1200,    F  ,VLZ310PLZ310,VLZ310,PLZ310,LiangPing
BCHM4P08,LEC,2,1,1800-2100, M     ,MCH313,MCH313,,Dano Jacinta / De Luca Vincenzo
BCHM4P08,LAB  1,2,1,1400-1700,  T    ,CRN558,CRN558,,
BCHM4P08,LAB  2,2,1,1400-1700,   W   ,CRN558,CRN558,,
BCHM4P11,LEC,3,1,1500-1800, T     ,MCA241,MCA241,,Despres Charles
BCHM4P41,LEC,3,1,1300-1430,M W    ,PLZ409,PLZ409,,MacNeil Lori
BCHM4P67,LEC,2,1,1300-1430,M      ,PLZ409,PLZ409,,Van Der Est Arthur J
BCHM4P67,LEC,2,1,1300-1430,M      ,PLZ409,PLZ409,,Van Der Est Arthur J
BCHM4P67,LEC2,2,1,1430-1600,  W    ,PLZ409,PLZ409,,Van Der Est Arthur J
BCHM4P67,LEC2,2,1,1430-1600,  W    ,PLZ409,PLZ409,,Van Der Est Arthur J
BIOL1F25,BLD,1,1,1200-1300, M  R  ,DHOWES,DHOWES,,Vesprini Nicholas / Holman Parker
BIOL1F25,LAB  1,1,1,,       ,ASYNC,ASYNC,,
BIOL1P23,ASY,2,1,,       ,ASYNC,ASYNC,,Vesprini Nicholas
BIOL1P24,ASY,3,1,,       ,ASYNC,ASYNC,,Vesprini Nicholas
BIOL1P27,ASY,3,1,,       ,ASYNC,ASYNC,,Vesprini Nicholas
BIOL1P27,LAB  1,3,1,,       ,,,,
BIOL1P91,BLD,2,1,,       ,ASYNC,ASYNC,,Despres Charles / MartinStephanie / MacNeil Lori / SzuroczkiDorina
BIOL1P91,BLD,2,2,,       ,ASYNC,ASYNC,,Despres Charles / MartinStephanie / MacNeil Lori / Bioltba5
BIOL1P91,LAB  1,2,1,1400-1700, M     ,MCH319,MCH319,,
BIOL1P91,LAB  2,2,1,1400-1700, M     ,MCH322,MCH322,,
BIOL1P91,LAB  3,2,1,1800-2100, M     ,MCH319,MCH319,,
BIOL1P91,LAB  4,2,1,1800-2100, M     ,MCH322,MCH322,,
BIOL1P91,LAB  5,2,1,1000-1300,  T    ,MCH319,MCH319,,
BIOL1P91,LAB  6,2,1,1000-1300,  T    ,MCH322,MCH322,,
BIOL1P91,LAB  7,2,1,1400-1700,  T    ,MCH319,MCH319,,
BIOL1P91,LAB  8,2,1,1400-1700,  T    ,MCH322,MCH322,,
BIOL1P91,LAB  9,2,1,1800-2100,  T    ,MCH319,MCH319,,
BIOL1P91,LAB 10,2,1,1800-2100,  T    ,MCH322,MCH322,,
BIOL1P91,LAB 11,2,1,1100-1400,   W   ,MCH319,MCH319,,
BIOL1P91,LAB 12,2,1,1100-1400,   W   ,MCH322,MCH322,,
BIOL1P91,LAB 13,2,1,1400-1700,   W   ,MCH319,MCH319,,
BIOL1P91,LAB 14,2,1,1400-1700,   W   ,MCH322,MCH322,,
BIOL1P91,LAB 15,2,1,1800-2100,   W   ,MCH319,MCH319,,
BIOL1P91,LAB 16,2,1,1800-2100,   W   ,MCH322,MCH322,,
BIOL1P91,LAB 17,2,1,1000-1300,    R  ,MCH319,MCH319,,
BIOL1P91,LAB 18,2,1,1000-1300,    R  ,MCH322,MCH322,,
BIOL1P91,LAB 19,2,1,1400-1700,    R  ,MCH319,MCH319,,
BIOL1P91,LAB 20,2,1,1400-1700,    R  ,MCH322,MCH322,,
BIOL1P91,LAB 21,2,1,1800-2100,    R  ,MCH319,MCH319,,
BIOL1P91,LAB 22,2,1,1100-1400,     F ,MCH322,MCH322,,
BIOL1P91,LAB 23,2,1,1100-1400,     F ,MCH319,MCH319,,
BIOL1P91,LAB 24,2,1,1400-1700, M     ,MCH319,MCH319,,
BIOL1P91,LAB 25,2,1,1400-1700, M     ,MCH322,MCH322,,
BIOL1P91,LAB 26,2,1,1800-2100, M     ,MCH319,MCH319,,
BIOL1P91,LAB 27,2,1,1800-2100, M     ,MCH322,MCH322,,
BIOL1P91,LAB 28,2,1,1000-1300,  T    ,MCH319,MCH319,,
BIOL1P91,LAB 29,2,1,1000-1300,  T    ,MCH322,MCH322,,
BIOL1P91,LAB 30,2,1,1400-1700,  T    ,MCH319,MCH319,,
BIOL1P91,LAB 31,2,1,1400-1700,  T    ,MCH322,MCH322,,
BIOL1P91,LAB 32,2,1,1800-2100,  T    ,MCH319,MCH319,,
BIOL1P91,LAB 33,2,1,1800-2100,  T    ,MCH322,MCH322,,
BIOL1P91,LAB 34,2,1,1100-1400,   W   ,MCH319,MCH319,,
BIOL1P91,LAB 35,2,1,1100-1400,   W   ,MCH322,MCH322,,
